begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_out_3,7,420.00,1.90,30.81,30.72,5.00,7
180.00,240.00,H10E_out_3,12,720.00,3.80,28.00,27.94,5.00,13
240.00,300.00,H10E_out_3,20,1200.00,6.08,26.54,26.47,5.00,19
300.00,360.00,H10E_out_3,26,1560.00,7.83,27.69,27.66,5.00,26
360.00,420.00,H10E_out_3,24,1440.00,7.46,26.88,26.81,5.00,24
420.00,480.00,H10E_out_3,23,1380.00,7.11,26.99,26.96,5.00,23
480.00,540.00,H10E_out_3,31,1860.00,10.22,25.40,25.29,5.00,31
540.00,600.00,H10E_out_3,29,1740.00,9.58,25.67,25.63,5.00,30
600.00,660.00,H10E_out_3,28,1680.00,9.06,26.13,26.01,5.00,28
660.00,720.00,H10E_out_3,31,1860.00,9.75,25.98,25.86,5.00,30
720.00,780.00,H10E_out_3,32,1920.00,10.59,25.27,25.18,5.00,32
780.00,840.00,H10E_out_3,35,2100.00,11.28,25.92,25.87,5.00,35
840.00,900.00,H10E_out_3,31,1860.00,10.24,25.29,25.24,5.00,31
900.00,960.00,H10E_out_3,33,1980.00,10.82,25.54,25.41,5.00,33
960.00,1020.00,H10E_out_3,31,1860.00,10.78,24.02,23.96,5.00,31
1020.00,1080.00,H10E_out_3,36,2160.00,11.74,25.66,25.56,5.00,36
1080.00,1140.00,H10E_out_3,38,2280.00,12.71,24.99,24.91,5.00,38
1140.00,1200.00,H10E_out_3,30,1800.00,9.87,25.37,25.32,5.00,30
1200.00,1260.00,H10E_out_3,34,2040.00,11.04,25.73,25.67,5.00,34
1260.00,1320.00,H10E_out_3,32,1920.00,10.43,25.69,25.57,5.00,32
1320.00,1380.00,H10E_out_3,37,2220.00,12.34,25.19,24.98,5.00,37
1380.00,1440.00,H10E_out_3,37,2220.00,12.34,25.07,24.99,5.00,37
1440.00,1500.00,H10E_out_3,36,2160.00,12.58,23.97,23.85,5.00,36
1500.00,1560.00,H10E_out_3,35,2100.00,12.20,24.64,24.50,5.00,36
1560.00,1620.00,H10E_out_3,36,2160.00,12.68,23.52,23.33,5.00,36
1620.00,1680.00,H10E_out_3,37,2220.00,12.27,25.01,24.90,5.00,36
1680.00,1740.00,H10E_out_3,35,2100.00,12.12,24.15,24.07,5.00,35
1740.00,1800.00,H10E_out_3,38,2280.00,12.93,24.58,24.48,5.00,38
1800.00,1860.00,H10E_out_3,38,2280.00,13.18,24.12,24.02,5.00,38
1860.00,1920.00,H10E_out_3,32,1920.00,11.09,24.12,24.04,5.00,32
1920.00,1980.00,H10E_out_3,35,2100.00,12.14,24.13,24.03,5.00,35
1980.00,2040.00,H10E_out_3,39,2340.00,13.47,24.20,24.12,5.00,39
2040.00,2100.00,H10E_out_3,39,2340.00,14.36,22.79,22.63,5.00,39
2100.00,2160.00,H10E_out_3,36,2160.00,12.23,25.16,25.08,5.00,37
2160.00,2220.00,H10E_out_3,30,1800.00,10.29,23.77,23.67,5.00,29
2220.00,2280.00,H10E_out_3,35,2100.00,12.35,23.94,23.75,5.00,36
2280.00,2340.00,H10E_out_3,37,2220.00,12.54,24.58,24.46,5.00,36
